Fiscal Year,Contracting Agency ID,Contracting Agency Name,Product or Service Code,Product or Service Description,Base and Exercised Options Value,Base and All Options Value (Total Contract Value),Non Government Dollars,Dollars Obligated,Number of Actions,Number of Records
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,X129,LEASE-RENT OF OTHER AIRFIELD STRUCT,"$7,212.00 ",$0.00 ,$0.00 ,"$7,212.00 ",1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BE,LEASE/RENTAL OF AIRPORT TERMINALS,$435.00 ,$0.00 ,$0.00 ,$435.00 ,4 ,4 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1LZ,LEASE/RENTAL OF PARKING FACILITIES,"$304,264.38 ","$304,264.38 ","($81,448.30)","$304,264.38 ",9 ,9 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1PZ,LEASE/RENTAL OF OTHER NON-BUILDING FACILITIES,($230.19),($230.19),$0.00 ,($230.19),1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"($34,144.53)",$0.00 ,$0.00 ,"($34,144.53)",1 ,1 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,"$285,389.44 ","$285,389.44 ","$28,538.94 ","$256,850.50 ",8 ,8 
2018,7013,TRANSPORTATION SECURITY ADMINISTRATION,Z2BE,REPAIR OR ALTERATION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2019,2100,DEPT OF THE ARMY,1005,"GUNS, THROUGH 30MM","$68,116,757.93 ","$68,116,757.93 ",$0.00 ,"$12,895,797.13 ",22 ,22 
2019,2100,DEPT OF THE ARMY,1010,"GUNS, OVER 30MM UP TO 75MM","$7,580.00 ","$7,580.00 ",$0.00 ,"$7,580.00 ",1 ,1 
2019,2100,DEPT OF THE ARMY,1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES,"$177,450.64 ","$177,450.64 ",$0.00 ,"$177,450.64 ",2 ,2 
2019,2100,DEPT OF THE ARMY,1095,MISCELLANEOUS WEAPONS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,14 ,14 
2019,1700,DEPT OF THE NAVY,1240,OPTICAL SIGHTING AND RANGING EQUIPMENT,"$11,960,313.51 ","$11,960,313.51 ","$3,000,000.00 ","$4,693,477.90 ",4 ,4 
2019,2100,DEPT OF THE ARMY,1240,OPTICAL SIGHTING AND RANGING EQUIPMENT,"$1,093,973.21 ","$1,183,523.21 ",$0.00 ,"$1,093,973.21 ",3 ,3 
2019,1700,DEPT OF THE NAVY,1260,FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT,"$438,370.00 ","$438,370.00 ",$0.00 ,"$438,370.00 ",1 ,1 
2019,2100,DEPT OF THE ARMY,1315,"AMMUNITION, 75MM THROUGH 125MM","$530,000.00 ","$1,045,000.00 ",$0.00 ,"$530,000.00 ",1 ,1 
2019,1700,DEPT OF THE NAVY,1367,"TACTICAL SETS, KITS, AND OUTFITS","$274,867.37 ","$274,867.37 ",$0.00 ,"$274,867.37 ",4 ,4 
2019,2100,DEPT OF THE ARMY,1370,PYROTECHNICS,"$200,000.00 ","$200,000.00 ",$0.00 ,"$200,000.00 ",1 ,1 
2019,2100,DEPT OF THE ARMY,1386,UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT,$0.00 ,"$98,000,000.00 ",$0.00 ,$0.00 ,6 ,6 
2019,2100,DEPT OF THE ARMY,1395,MISCELLANEOUS AMMUNITION,"$348,308.00 ","$348,308.00 ",$0.00 ,"$348,308.00 ",1 ,1 
2019,1700,DEPT OF THE NAVY,1425,"GUIDED MISSILE SYSTEMS, COMPLETE","$48,402,734.00 ","$48,402,734.00 ",$0.00 ,"$13,752,921.00 ",8 ,8 
2019,1700,DEPT OF THE NAVY,1440,"LAUNCHERS, GUIDED MISSILE",$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2019,2100,DEPT OF THE ARMY,1510,"AIRCRAFT, FIXED WING","$2,450,000.00 ","$2,450,000.00 ",$0.00 ,"$2,450,000.00 ",4 ,4 
2019,5700,DEPT OF THE AIR FORCE,1510,"AIRCRAFT, FIXED WING","$358,735.00 ","$358,735.00 ","$358,735.00 ","$358,735.00 ",7 ,7 
2019,1700,DEPT OF THE NAVY,1550,UNMANNED AIRCRAFT,"$396,498.39 ","$575,141.07 ",$0.00 ,"$396,498.39 ",2 ,2 
2019,2100,DEPT OF THE ARMY,1675,SPACE VEHICLE COMPONENTS,"$959,999.00 ","$959,999.00 ",$0.00 ,"$959,999.00 ",2 ,2 
2019,1700,DEPT OF THE NAVY,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,"$7,905,266.71 ","$14,376,725.89 ",$0.00 ,"$7,500,000.00 ",1 ,1 
2019,5700,DEPT OF THE AIR FORCE,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,"$267,602.00 ","$9,176,970.00 ",$0.00 ,"$267,602.00 ",12 ,12 
2019,2100,DEPT OF THE ARMY,1725,SPACE VEHICLE LAUNCHERS,"$2,405,050.00 ","$2,405,050.00 ",$0.00 ,"$2,405,050.00 ",2 ,2 
2019,5700,DEPT OF THE AIR FORCE,2845,ROCKET ENGINES AND COMPONENTS,"$273,000.00 ","$273,000.00 ",$0.00 ,$0.00 ,2 ,2 
2019,2100,DEPT OF THE ARMY,3426,METAL FINISHING EQUIPMENT,"$996,944.40 ","$996,944.40 ",$0.00 ,"$996,944.40 ",1 ,1 
2019,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$2,400,000.00 ","$2,400,000.00 ",$0.00 ,"$976,500.00 ",1 ,1 
2019,5700,DEPT OF THE AIR FORCE,5826,"RADIO NAVIGATION EQUIPMENT, AIRBORNE","$48,282,635.00 ","$69,515,467.01 ",$0.00 ,"$39,151,544.00 ",5 ,5 
2019,2100,DEPT OF THE ARMY,5895,MISCELLANEOUS COMMUNICATION EQUIPMENT,"$273,558,739.59 ","$641,161,797.33 ",$0.00 ,"$273,558,739.59 ",7 ,7 
2019,2100,DEPT OF THE ARMY,6115,"GENERATORS AND GENERATOR SETS, ELECTRICAL",$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2019,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",$0.00 ,$1.00 ,$0.00 ,$0.00 ,1 ,1 
2019,1700,DEPT OF THE NAVY,6636,ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT,"$1,253,171.07 ","$1,253,171.07 ",$0.00 ,"$1,253,171.07 ",5 ,5 
2019,2100,DEPT OF THE ARMY,6660,METEOROLOGICAL INSTRUMENTS AND APPARATUS,"$1,000,100.00 ","$1,000,100.00 ",$0.00 ,"$1,000,100.00 ",2 ,2 
2019,7013,TRANSPORTATION SECURITY ADMINISTRATION,6710,"CAMERAS, MOTION PICTURE",$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,2100,DEPT OF THE ARMY,6910,TRAINING AIDS,"$214,792,712.87 ","$400,631,459.02 ",$0.00 ,"$137,662,888.92 ",58 ,58 
2019,2100,DEPT OF THE ARMY,6930,OPERATION TRAINING DEVICES,"$3,962,826.00 ","$3,962,826.00 ",$0.00 ,"$3,962,826.00 ",2 ,2 
2019,1700,DEPT OF THE NAVY,7010,INFORMATION TECHNOLOGY EQUIPMENT SYSTEM CONFIGURATION,"$11,411,665.52 ","$11,411,665.52 ",$0.00 ,"$3,862,218.77 ",7 ,7 
2019,2100,DEPT OF THE ARMY,7030,INFORMATION TECHNOLOGY SOFTWARE,"$839,590.26 ","$839,590.26 ",$0.00 ,"$839,590.26 ",3 ,3 
2019,5700,DEPT OF THE AIR FORCE,7030,INFORMATION TECHNOLOGY SOFTWARE,"$174,532,445.00 ","$174,532,445.00 ",$0.00 ,"$72,768,061.00 ",23 ,23 
2019,97CY,U.S. CYBER COMMAND,7030,INFORMATION TECHNOLOGY SOFTWARE,"$1,524,448.68 ","$1,524,448.68 ",$0.00 ,"$1,524,448.68 ",2 ,2 
2019,2100,DEPT OF THE ARMY,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,"$4,960,099.00 ",($0.18),$0.00 ,"$4,960,099.00 ",2 ,2 
2019,2100,DEPT OF THE ARMY,9330,PLASTICS FABRICATED MATERIALS,"$67,950.54 ","$67,950.54 ",$0.00 ,"$67,950.54 ",2 ,2 
2019,2100,DEPT OF THE ARMY,9999,MISCELLANEOUS ITEMS,"($8,148,330.52)","$898,918.21 ",$0.00 ,"($8,148,330.52)",3 ,3 
2019,5700,DEPT OF THE AIR FORCE,9999,MISCELLANEOUS ITEMS,"$53,094.00 ","$53,094.00 ",$0.00 ,"$53,094.00 ",1 ,1 
2019,1700,DEPT OF THE NAVY,AB94,R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (ENGINEERING DEVELOPMENT),"$200,000,000.00 ","$200,000,000.00 ",$0.00 ,$0.00 ,3 ,3 
2019,2100,DEPT OF THE ARMY,AC12,R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$3,708,530,693.00 ","$3,972,455,923.00 ","$474,284,623.00 ","$57,738,551.00 ",16 ,16 
2019,5700,DEPT OF THE AIR FORCE,AC14,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),"$11,909,030.00 ","$38,684,030.00 ",$0.00 ,"$11,909,030.00 ",2 ,2 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AC14,R&D- DEFENSE SYSTEM: AIRCRAFT (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,97AD,IMMEDIATE OFFICE OF THE SECRETARY OF DEFENSE,AC15,R&D- DEFENSE SYSTEM: AIRCRAFT (OPERATIONAL SYSTEMS DEVELOPMENT),"$12,946,045.00 ","$12,946,045.00 ",$0.00 ,"$12,946,045.00 ",5 ,5 
2019,2100,DEPT OF THE ARMY,AC21,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (BASIC RESEARCH),"$6,260,103.00 ","$6,260,103.00 ",$0.00 ,"$6,260,103.00 ",5 ,5 
2019,5700,DEPT OF THE AIR FORCE,AC22,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$353,566,672.96 ",18 ,18 
2019,1700,DEPT OF THE NAVY,AC23,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT),"$2,072,070.00 ","$2,072,070.00 ",$0.00 ,"$2,072,070.00 ",1 ,1 
2019,1700,DEPT OF THE NAVY,AC24,R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ENGINEERING DEVELOPMENT),"$341,011.02 ","$341,011.02 ",$0.00 ,"$896,922.61 ",4 ,4 
2019,2100,DEPT OF THE ARMY,AC41,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH),"$85,042,854.00 ",$0.00 ,$0.00 ,"$85,042,854.00 ",26 ,26 
2019,2100,DEPT OF THE ARMY,AC43,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (ADVANCED DEVELOPMENT),"$10,896,040.91 ","$80,000,000.00 ","$11,036,453.00 ","$10,896,040.91 ",4 ,4 
2019,5700,DEPT OF THE AIR FORCE,AC52,R&D- DEFENSE SYSTEM: WEAPONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$600,000.00 ",2 ,2 
2019,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$3,129,122,852.91 ","$1,187,218,341.88 ",$0.00 ,"$2,780,796,678.63 ",162 ,162 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"($59,081.36)",1 ,1 
2019,97AK,DEFENSE INFORMATION SYSTEMS AGENCY (DISA),AC61,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (BASIC RESEARCH),"$8,788,731.43 ","$8,788,731.43 ",$0.00 ,"$8,788,731.43 ",10 ,10 
2019,1700,DEPT OF THE NAVY,AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$200,701,484.54 ","$200,701,484.54 ",$0.00 ,"$701,484.54 ",8 ,8 
2019,2100,DEPT OF THE ARMY,AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$14,843,487.00 ","$14,843,487.00 ",$0.00 ,"$760,924.00 ",1 ,1 
2019,5700,DEPT OF THE AIR FORCE,AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$97,126,091.00 ","$99,635,142.00 ","$10,702,440.00 ","$83,410,812.00 ",16 ,16 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,1700,DEPT OF THE NAVY,AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),"$25,194,748.46 ","$24,284,292.80 ",$0.00 ,"$8,968,336.69 ",14 ,14 
2019,1700,DEPT OF THE NAVY,AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT),"$11,517,506.22 ","$11,517,506.22 ",$0.00 ,"$11,517,506.22 ",3 ,3 
2019,2100,DEPT OF THE ARMY,AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$384,489.00 ",4 ,4 
2019,1700,DEPT OF THE NAVY,AC65,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (OPERATIONAL SYSTEMS DEVELOPMENT),"$1,254,601.00 ","$1,254,601.00 ",$0.00 ,"$1,254,601.00 ",1 ,1 
2019,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AC92,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$979,340.00 ","$979,340.00 ",$0.00 ,"$979,340.00 ",3 ,3 
2019,2100,DEPT OF THE ARMY,AC94,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (ENGINEERING DEVELOPMENT),"$883,271.00 ","$1,065,310.00 ",$0.00 ,"$883,271.00 ",2 ,2 
2019,2100,DEPT OF THE ARMY,AC95,R&D- DEFENSE SYSTEM: MISCELLANEOUS HARD GOODS (OPERATIONAL SYSTEMS DEVELOPMENT),"$4,970,265.50 ","$1,318,461.80 ",$0.00 ,"$4,970,265.50 ",3 ,3 
2019,2100,DEPT OF THE ARMY,AD17,R&D- DEFENSE OTHER: AMMUNITION (COMMERCIALIZED),"$55,246.02 ","$55,246.02 ",$0.00 ,"$55,246.02 ",1 ,1 
2019,1700,DEPT OF THE NAVY,AD21,R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH),"$2,070,123.84 ","$2,070,123.84 ",$0.00 ,"$2,070,123.84 ",2 ,2 
2019,97F5,WASHINGTON HEADQUARTERS SERVICES (WHS),AD21,R&D- DEFENSE OTHER: SERVICES (BASIC RESEARCH),"$46,763,497.70 ","$47,146,679.64 ",$0.00 ,"$33,842,203.70 ",6 ,6 
2019,1700,DEPT OF THE NAVY,AD22,R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$99,636.12 ","$99,636.12 ",$0.00 ,"$99,636.12 ",1 ,1 
2019,2100,DEPT OF THE ARMY,AD22,R&D- DEFENSE OTHER: SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$919,923.00 ","$4,838,624.10 ",$0.00 ,"$919,923.00 ",2 ,2 
2019,1700,DEPT OF THE NAVY,AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),"$17,973,516.47 ","$17,973,516.47 ",$0.00 ,"$17,871,378.70 ",8 ,8 
2019,2100,DEPT OF THE ARMY,AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),"$417,704,303.25 ","$286,151,371.65 ",$0.00 ,"$122,980,314.74 ",20 ,20 
2019,2100,DEPT OF THE ARMY,AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),"$9,223,160.12 ","$9,223,160.12 ",$0.00 ,"$9,223,160.12 ",10 ,10 
2019,2100,DEPT OF THE ARMY,AD25,R&D- DEFENSE OTHER: SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT),"$39,000.00 ","$39,000.00 ",$0.00 ,"$39,000.00 ",4 ,4 
2019,5700,DEPT OF THE AIR FORCE,AD26,R&D- DEFENSE OTHER: SERVICES (MANAGEMENT/SUPPORT),"$100,000,000.00 ","$100,000,000.00 ",$0.00 ,$0.00 ,1 ,1 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AD27,R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,2100,DEPT OF THE ARMY,AD44,R&D- DEFENSE OTHER: TEXTILES/CLOTHING/EQUIPAGE (ENGINEERING DEVELOPMENT),"$116,800.00 ","$116,800.00 ",$0.00 ,"$116,800.00 ",2 ,2 
2019,1700,DEPT OF THE NAVY,AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,2100,DEPT OF THE ARMY,AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$88,966,965.50 ","$98,744,655.59 ",$0.00 ,"$59,207,533.23 ",33 ,33 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2019,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$55,171,153.00 ","$58,105,602.00 ","$1,250,465.00 ","$54,786,554.00 ",155 ,155 
2019,1700,DEPT OF THE NAVY,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$32,400,800.52 ","$46,163,526.52 ","$235,014.40 ","$27,493,849.38 ",43 ,43 
2019,2100,DEPT OF THE ARMY,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"($590,000.00)","($590,000.00)",$0.00 ,"($590,000.00)",3 ,3 
2019,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$126,618,689.50 ","$563,995,166.88 ","$503,667,908.24 ","$169,268,739.93 ",108 ,108 
2019,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$245,000.00 ",2 ,2 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2019,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$75,215,538.00 ","$75,899,913.00 ","$1,097,811.00 ","$82,859,054.95 ",80 ,80 
2019,1700,DEPT OF THE NAVY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$60,815,826.00 ","$439,435,976.00 ","$11,633,161.00 ","$49,919,588.00 ",21 ,21 
2019,2100,DEPT OF THE ARMY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$145,863,068.29 ","$149,629,533.53 ",$0.00 ,"$13,389,037.34 ",2 ,2 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$189,098,895.35 ","$262,656,457.35 ","$91,532,123.68 ","$213,714,263.91 ",39 ,39 
2019,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$152,500.00 ","$152,500.00 ",$0.00 ,"$152,500.00 ",1 ,1 
2019,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$627,813,108.86 ","$2,281,090,024.19 ",$0.00 ,"$635,512,142.17 ",100 ,100 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,97F5,WASHINGTON HEADQUARTERS SERVICES (WHS),AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$185,903,506.26 ","$450,125,087.90 ",$0.00 ,"$103,529,543.42 ",18 ,18 
2019,1700,DEPT OF THE NAVY,AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$8,418,900.00 ","$8,418,900.00 ",$0.00 ,"$8,418,900.00 ",1 ,1 
2019,2100,DEPT OF THE ARMY,AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,5 ,5 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2019,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$996,426.00 ",$0.00 ,$0.00 ,"$996,426.00 ",4 ,4 
2019,2100,DEPT OF THE ARMY,AJ13,R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (ADVANCED DEVELOPMENT),"$5,585,687.00 ","$7,892,356.00 ",$0.00 ,"$4,865,344.00 ",3 ,3 
2019,2100,DEPT OF THE ARMY,AJ41,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH),"$4,843,697.00 ",$0.00 ,$0.00 ,"$4,843,697.00 ",2 ,2 
2019,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2019,2100,DEPT OF THE ARMY,AJ53,R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2019,2100,DEPT OF THE ARMY,AN12,R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$10,656,662.60 ","$63,372,007.15 ",$0.00 ,"$8,883,973.25 ",10 ,10 
2019,2100,DEPT OF THE ARMY,AN93,R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT),"$71,096,866.28 ","$72,775,211.36 ","$3,330,453.56 ","$75,450,628.42 ",50 ,50 
2019,2100,DEPT OF THE ARMY,AN94,R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT),"$419,565.28 ","$419,565.28 ","$410,378.00 ","$2,492,600.00 ",5 ,5 
2019,5700,DEPT OF THE AIR FORCE,AN95,R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$111,501.53 ","$111,501.53 ",$0.00 ,"$111,501.53 ",4 ,4 
2019,5700,DEPT OF THE AIR FORCE,AR75,R&D- SPACE: COMMERCIAL PROGRAMS (OPERATIONAL SYSTEMS DEVELOPMENT),"$2,258,601,015.00 ","$2,258,601,015.00 ","$4,657,156,784.00 ","$724,135,321.00 ",16 ,16 
2019,9763,DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA),AR75,R&D- SPACE: COMMERCIAL PROGRAMS (OPERATIONAL SYSTEMS DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2019,7013,TRANSPORTATION SECURITY ADMINISTRATION,AS31,R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH),"$149,897.00 ",$0.00 ,$0.00 ,"$149,897.00 ",1 ,1 
2019,1406,DEPARTMENTAL OFFICES,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$125,134,324.52 ","$148,292,093.52 ",$0.00 ,"$151,999,970.57 ",44 ,44 
2019,2100,DEPT OF THE ARMY,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$25,080,412.35 ","$34,668,436.29 ",$0.00 ,"$76,294,371.35 ",71 ,71 
2019,5700,DEPT OF THE AIR FORCE,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$185,616.00 ","$185,616.00 ",$0.00 ,"$185,616.00 ",3 ,3 
2019,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$9,649,293.60 ",$0.00 ,$0.00 ,"$9,649,293.60 ",2 ,2 
2019,1406,DEPARTMENTAL OFFICES,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,509,960.00 ","$1,509,960.00 ",$0.00 ,"$601,360.00 ",1 ,1 
2019,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$201,619,291.13 ","$228,527,795.29 ",$0.00 ,"$201,039,844.22 ",40 ,40 
